Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",107.000000,-125.500000,90.000000,top
"C2","1u","C_0603_1608Metric",121.250000,-120.250000,-90.000000,top
"C3","0.1u","C_0603_1608Metric",122.750000,-120.250000,-90.000000,top
"C4","1u","C_0603_1608Metric",123.000000,-117.000000,90.000000,top
"C5","0.1u","C_0603_1608Metric",121.500000,-117.000000,90.000000,top
"C6","1u","C_0603_1608Metric",116.500000,-109.000000,-90.000000,top
"C7","0.1u","C_0603_1608Metric",129.000000,-103.000000,-90.000000,top
"C8","10u","C_1206_3216Metric",113.000000,-108.000000,0.000000,top
"C9","1u","C_0603_1608Metric",114.500000,-111.000000,-90.000000,top
"C10","0.1u","C_0603_1608Metric",113.000000,-111.000000,-90.000000,top
"C11","0.1u","C_0603_1608Metric",111.500000,-111.000000,-90.000000,top
"C12","10u","C_1206_3216Metric",106.500000,-114.000000,0.000000,top
"C13","1u","C_0603_1608Metric",102.500000,-111.000000,180.000000,top
"C14","0.1u","C_0603_1608Metric",102.500000,-112.500000,180.000000,top
"C15","0.1u","C_0603_1608Metric",102.500000,-114.000000,180.000000,top
"C16","100n","C_0603_1608Metric",108.000000,-107.000000,180.000000,top
"C17","10u","C_1206_3216Metric",130.500000,-106.000000,0.000000,top
"C18","1u","C_0603_1608Metric",130.500000,-108.500000,0.000000,top
"C19","0.1u","C_0603_1608Metric",130.500000,-110.000000,0.000000,top
"C20","0.1u","C_0603_1608Metric",127.500000,-110.000000,180.000000,top
"C21","10u","C_1206_3216Metric",130.000000,-121.500000,0.000000,top
"C22","1u","C_0603_1608Metric",128.500000,-124.000000,0.000000,top
"C23","0.1u","C_0603_1608Metric",128.500000,-125.500000,0.000000,top
"C24","0.1u","C_0603_1608Metric",128.500000,-127.000000,0.000000,top
"C25","100n","C_0603_1608Metric",125.500000,-113.000000,-90.000000,top
"C26","100n","C_0603_1608Metric",115.247500,-129.535000,180.000000,top
"R1","0R","R_0603_1608Metric",102.000000,-120.000000,90.000000,top
"R2","10R","R_0603_1608Metric",113.500000,-125.500000,180.000000,top
"R3","10R","R_0603_1608Metric",113.500000,-124.000000,180.000000,top
"R7","560K","R_0603_1608Metric",105.000000,-105.000000,-90.000000,top
"R8","9.1K","R_0603_1608Metric",103.000000,-109.000000,180.000000,top
"R9","1.2K","R_0603_1608Metric",103.000000,-107.500000,0.000000,top
"R10","560K","R_0603_1608Metric",127.000000,-117.000000,0.000000,top
"R11","2K","R_0603_1608Metric",130.000000,-119.000000,0.000000,top
"R12","1K","R_0603_1608Metric",127.000000,-119.000000,0.000000,top
"R13","6.8K","R_0805_2012Metric",119.280000,-134.510000,90.000000,top
"R14","4.7K","R_0805_2012Metric",106.995000,-130.622500,-90.000000,top
"R15","2.7K","R_0805_2012Metric",119.280000,-130.490000,-90.000000,top
"R16","4.7K","R_0805_2012Metric",106.995000,-134.435000,-90.000000,top
"R17","0R","R_0603_1608Metric",121.920000,-130.270000,90.000000,top
"R18","1K","R_0603_1608Metric",126.710000,-129.520000,180.000000,top
"U1","iC_HK_B","SOIC-8-1EP_3.9x4.9mm_P1.27mm",116.000000,-120.000000,0.000000,top
"U2","NA_LMV321WG-7","SOT95P285X145-5N",126.580000,-133.180000,90.000000,top
"U5","MCP4541-103E/MS","SOP65P490X110-8N",113.617500,-132.535000,0.000000,top
